,id,entity_text,entity_label
0,1,Stanford Plumbing & Heating,ORG
1,1,123,CARDINAL
2,1,Seattle,GPE
3,1,WA,GPE
4,1,78290,CARDINAL
5,1,Allen Sith,PERSON
6,1,27,CARDINAL
7,1,Seattle,GPE
8,1,9002 - 1898,DATE
9,1,Insaegnewletehen,PERSON
10,1,20 ayy PayPal feb Getanorplumbing cm,TIME
11,1,Balance Due,PERSON
12,1,"2,808.90",MONEY
13,2,"Stanford Plumbing & Heating 
 beottsanforeplamarg cm",ORG
14,2,0,CARDINAL
15,2,hone,CARDINAL
16,2,2018,DATE
17,2,2018,DATE
18,2,Allen Smith,PERSON
19,2,102-,CARDINAL
20,2,suc,CARDINAL
21,2,about ness 73,CARDINAL
22,2,net plow ana,ORG
23,2,54,CARDINAL
24,2,Â¢~ ens,PERSON
25,2,28,CARDINAL
26,2,1,CARDINAL
27,2,139,CARDINAL
28,2,Nese,NORP
29,2,1,CARDINAL
30,2,222 088,CARDINAL
31,2,Greenscar 3th,DATE
32,2,1,CARDINAL
33,2,"2,688.00",MONEY
34,2,Notes,PRODUCT
35,2,20 days,DATE
36,2,Inark,PERSON
